Browse	Prehľadávať
File system	Súborový systém
Links to AutoText directories on your computer are relative.	Odkazy na priečinky automatického textu sú na vašom počítači relatívne.
Links to files on the Internet are relative.	Odkazy na súbory na Internete sú relatívne.
Save Links Relative To	Uložiť odkazy relatívne
Display remainder of name as suggestion while typing	Zobrazovať zvyšok názvu ako návrh pri písaní
Shortcut:	Skratka:
Opens the Define Bibliography Entry dialog where you can edit the selected bibliography record.	Otvorte dialóg Definovať položku použitej literatúry, kde môžete upraviť vybraný záznam použitej literatúry.
Inserts a reference from the bibliography database.	Vloží odkaz z bibliografickej databázy.
Document Content	Obsah dokumentu
Inserts a reference from the bibliography records that are stored in the current document.	Vloží odkaz z použitej literatúry uloženej v aktuálnom dokumente.
Bibliography Source	Bibliografický zdroj
Select the short name of the bibliography record that you want to insert.	Vyberte krátky názov bibliografického záznamu, ktorý chcete vložiť.
Inserts a bibliography reference.	Vloží odkaz na použitú literatúru.
Unordered	
Select a bullet type for an unordered list.	
Ordered	
Select a numbering scheme for an ordered list.	
Select an outline format for an ordered list.	
Select a graphic bullet symbol for an unordered list.	
Modify indent, spacing, and alignment options for ordered and unordered lists.	
Design your own bullet or numbering scheme.	
Slogan:	Motto:
Country/state:	Krajina/Štát:
Fax:	Fax:
Homepage/email:	Domovská stránka/e-mail:
Type company fax number in this field.	Do tohto poľa zadajte faxové číslo organizácie.
Company homepage	Domovská stránka spoločnosti
Type your company email address.	Zadajte e-mailovú adresu organizácie.
Company 2nd line:	Spoločnosť (druhý riadok):
Company second line	Spoločnosť druhý riadok
Type the company city	Zadajte mesto organizácie
Type company ZIP in this field.	Do tohto poľa zadajte PSČ organizácie.
Company slogan	Slogan spoločnosti
Company country	Krajina spoločnosti
Type company state.	Typ štát organizácie.
Phone/mobile:	Tel./Mobilný tel.:
Type business phone	Zadajte služobný telefón
Type company mobile	Typ organizácia mobile
Type the name of company street in this field.	Do tohto poľa zadajte názov ulice organizácie.
Business Data	Obchodné informácie
Cannot Add Label	Nemožno pridať označenie
Cannot add label	Nemožno pridať označenie
Predefined labels cannot be overwritten, use another name.	Preddefinované označenia nemôžu byť zmenené, použite iný názov.
Caption Options	Možnosti popisu
Enter the character that you want to insert between the chapter number and the caption number.	Zadajte znak, ktorý sa má vložiť medzi číslo kapitoly a číslo popisu.
Level:	Úroveň:
Numbering Captions by Chapter	Číslovať popisy podľa kapitol
Specifies the character style.	Špecifikuje znakový štýl.
Apply border and shadow	Použiť orámovanie a tieňovanie
Applies the border and shadow of the object to the caption frame.	Použije na rámček okolo popisu ohraničenie a tieň.
Category and Frame Format	Formát kategórie a rámca
Caption order:	Poradie popisov:
Category first	Prvá kategória
Numbering first	Prvé číslovanie
Label text:	Text etikety/vizitky:
Enter the text that you want to appear on the label. You can also insert a database field.	Zadajte text, ktorý sa má zobraziť na etikete/vizitke. Je tiež možné vložiť databázové pole.
Select the database that you want to use as the data source for your label.	Vyberte databázu, ktorú chcete použiť ako dátový zdroj pre etikety.
Select the database table containing the field(s) that you want to use in your label.	Vyberte databázovú tabuľku obsahujúcu pole (polia), ktorú chcete použiť na v etikete/vizitke.
Database field:	Pole databázy:
Inscription	Obsah a formát
Prints labels on continuous paper.	Tlačí etikety/vizitky na súvislý papier.
Brand:	Značka:
Select the brand of paper that you want to use.	Vyberte značku papiera, ktorú chcete použiť.
Specify the label text and choose the paper size for the label.	Zadajte text etikety/vizitky a vyberte veľkosť papiera.
Copy To	Kópia na
Cc:	Kópia:
Bcc:	Skrytá kópia:
Note: Separate email addresses with a semicolon (;).	Poznámka: e-mailové adresy oddeľujte bodkočiarkou (;).
Enter the recipients of email copies, separated by a semicolon (;).	Zadajte príjemcov e-mailových kópií a oddeľte ich bodkočiarkou (;).
Enter the recipients of email blind copies, separated by a semicolon (;).	Zadajte príjemcov e-mailových slepých kópií oddelených bodkočiarkou (;).
Send a Copy of This Mail To...	Odoslať kópiu tohto e-mailu ...
Unsaved modifications to this tab are reverted.	
Target frame:	Cieľový rámec:
Events...	Udalosti...
Specify an event that triggers when you click the hyperlink.	Zadajte udalosť, ktorá sa spustí po kliknutí na hypertextový odkaz.
Enter the text that you want to display for the hyperlink.	Zadajte text, ktorý chcete zobraziť pre hypertextový odkaz.
Locate the file that you want to link to, and then click Open.	Vyhľadajte súbor, ktorý chcete prepojiť, a potom kliknite na Otvoriť.
Visited links:	Navštívené odkazy:
Unvisited links:	Nenavštívené odkazy:
Assigns a new hyperlink or edits the selected hyperlink.	Priradí nový hypertextový odkaz alebo upraví vybraný hypertextový odkaz.
AutoWidth	Automatická šírka
Creates columns of equal width.	Vytvorí stĺpce rovnakej šírky.
Enter the width of the column.	Zadajte šírku stĺpca.
Spacing:	Riadkový Preklad:
Enter the amount of space that you want to leave between the columns.	Zadajte medzeru, ktorú chcete vynechať medzi dvoma stĺpcami.
Moves the column display one column to the left.	Zobrazí stĺpec vľavo.
Moves the column display one column to the right.	Zobrazí stĺpec vpravo.
Width and Spacing	Šírka a rozostupy
Enter the length of the separator line as a percentage of the height of the column area.	Zadajte dĺžku oddeľovacej čiary v percentách výšky stĺpca.
Separator Line	Oddeľovacia čiara
Enter the number of columns that you want in the page, frame, or section.	Zadajte počet stĺpcov, ktoré chcete zobraziť na stránke, v rámci alebo v oblasti.
Evenly distribute contents to all columns	Rovnomerne rozdeliť obsah medzi všetky stĺpce
Current Section	Aktuálna oblasť
Selected section	Vybrané oblasti
Select the item that you want to apply the column layout to.	Vyberte objekt, na ktorý chcete použiť stĺpcové rozvrhnutie.
Apply to:	Použiť na:
Specifies the number of columns and the column layout for a page style, frame, or section.	Určí počet a rozloženie stĺpcov pre štýl stránky, rámca alebo oblasti.
Enter the column number of the column you want to change the width of.	Zadajte číslo stĺpca, ktorého šírku chcete zmeniť.
Enter the width that you want for the selected column(s).	Zadajte požadovanú šírku vybraných stĺpcov.
Changes the width of the selected column(s).	Zmení šírku vybraného(ných) stĺpca(cov).
Click here to remove the current context assigned to the selected style.	Kliknite tu pre vymazanie aktuálneho kontextu priradeného k vybranému štýlu.
Click Apply to apply the selected Paragraph Style to the defined context.	Kliknutím na tlačidlo Použiť použijete vybraný štýl odseku na definovaný kontext.
A list of all Paragraph Styles which can be assigned to a context is contained in the list box.	Zoznam všetkých štýlov odseku, ktoré môžu byť priradené kontextu, je obsiahnutý v poli zoznamu.
Table Header	Nadpis tabuľky
 1st Outline Level	 1. úroveň osnovy
 2nd Outline Level	 2. úroveň osnovy
 3rd Outline Level	 3. úroveň osnovy
 4th Outline Level	 4. úroveň osnovy
 5th Outline Level	 5. úroveň osnovy
 6th Outline Level	 6. úroveň osnovy
 7th Outline Level	 7. úroveň osnovy
 8th Outline Level	 8. úroveň osnovy
 9th Outline Level	 9. úroveň osnovy
10th Outline Level	10. úroveň osnovy
 1st List Level	
 2nd List Level	
 3rd List Level	
 4th List Level	
 5th List Level	
 6th List Level	
 7th List Level	
 8th List Level	
 9th List Level	
10th List Level	
Convert Table to Text	Previesť tabuľku na text
Converts the text to a table using tabs as column markers.	Skonvertuje text na tabuľku pomocou tabulátorov ako značiek stĺpcov.
Semicolons	Bodkočiarky
Converts the text to a table using semi-colons (;) as column markers.	Skonvertuje text na tabuľku pomocou bodkočiarok (;) ako značiek stĺpcov.
Converts the text to a table using paragraphs as column markers.	Skonvertuje text na tabuľku pomocou odsekov ako značiek stĺpcov.
Other:	Ostatné:
Converts the text to a table using the character that you type in the box as a column marker.	Skonvertuje text na tabuľku pomocou znaku, ktorý zadáte do poľa ako značku stĺpca.
Type the character that you want to use as a column marker.	Zadajte znak, ktorý chcete použiť ako značku stĺpca.
Equal width for all columns	Rovnaká šírka všetkých stĺpcov
Creates columns of equal width, regardless of the position of the column marker.	Vytvára stĺpce rovnakej šírky bez ohľadu na polohu značky stĺpca.
Separate Text At	Oddeliť text na
Formats the first row of the new table as a heading.	Naformátuje prvý riadok novej tabuľky ako nadpis.
Repeat heading	Opakovať nadpis
Repeats the table header on each page that the table spans.	Zopakuje hlavičku tabuľky na každej strane, ktorú tabuľka zaberá.
Don't split table	Nerozdeľovať tabuľku
Does not divide the table across pages.	Nerozdeľuje tabuľku medzi strany.
The first 	Prvých 
AutoFormat...	Formátovať tabuľku...
Opens the AutoFormat dialog, where you can select a predefined layout for table.	Otvorí dialógové okno Formátovanie tabuľky, kde môžete vybrať preddefinovaný štýl formátovania.
Converts the selected text into a table, or the selected table into text.	Skonvertuje vybraný text na tabuľku alebo vybranú tabuľku na text.
New Address List	Nový zoznam adries
Address Information	Informácie o adrese
Enter or edit the field contents for each mail merge recipient.	Zadajte alebo upravte kontaktné informácie.
Show entry number	Zobraziť číslo položky
|<	|<
Click the buttons to navigate through the records or enter a record number to display a record.	Kliknutím na tlačidlá môžete prechádzať záznamy alebo napíšte číslo záznamu, na ktorý chcete prejsť.
>|	>|
Adds a new blank record to the address list.	Pridá nový záznam do databázy kontaktov.
Deletes the selected record.	Zmaže vybraný záznam.
Opens the Find Entry dialog. You can leave the dialog open while you edit the entries.	Otvorí dialóg Nájsť záznam. Môžete ho nechať otvorený, kým záznam editujete.
Opens the Customize Address List dialog where you can rearrange, rename, add, and delete fields.	Otvorí dialóg Upraviť databázu kontaktov, v ktorom môžete premiestňovať, premenovávať, pridávať a mazať polia databázy kontaktov.
Enter new addresses or edit the addresses for mail merge documents.	Zadajte nové adresy alebo upravte adresy dokumentov hromadnej korešpondencie.
Define Bibliography Entry	Definovať položku použitej literatúry
Entry Data	Dáta položky
Change the content of a bibliography entry.	Zmeniť obsah položky zoznamu použitej literatúry.
Edit Concordance File	Upraviť súbor konkordancií
Create or edit a list of words to include in an Alphabetical Index.	Vytvorte alebo upravte zoznam slov, ktoré budú zaradené do abecedného registra.
Customize Address List	Prispôsobiť zoznam adries
Inserts a new text field.	Vloží nové textové pole.
Deletes the selected field.	Odstráni vybrané pole.
Renames the selected text field.	Premenuje vybrané pole.
Address list elements:	Prvky zoznamu adries:
Select the fields that you want to move, delete, or rename.	Vyberte pole, ktoré chcete posunúť, odstrániť alebo premenovať.
Create a New Data Source?	Vytvoriť nový dátový zdroj?
No data sources are available. Create a new one?	Žiadne zdroje dát nie sú dostupné. Vytvoriť nový zdroj dát?
Date Format	Formát dátumu
Display drop caps	Zobrazovať iniciálky
Applies the drop cap settings to the selected paragraph.	Pre označené odseky sa použije nastavenie iniciálok.
Whole word	Celé slovo
Number of characters:	Počet znakov:
Lines:	Riadky:
Space to text:	Vzdialenosť k textu:
Enter the number of characters to convert to drop caps.	Zadajte počet znakov, ktoré sa zmenia na iniciálky.
Enter the amount of space to leave between the drop caps and the rest of the text in the paragraph.	Zadajte vzdialenosť medzi iniciálkami a zvyškom textu v odseku.
Character style:	Štýl znaku:
Enter the text that you want to display as drop caps instead of the first letters of the paragraph.	Zadajte text, ktorý chcete zobraziť ako iniciálky namiesto prvých písmen odseku.
Select the formatting style that you want to apply to the drop caps.	Zvoľte štýl formátovania, ktorý chcete použiť pre iniciálky.
Choose Item: 	Zvoľte položku: 
Previous	Nasledujúci
Closes the current Input list and displays the next, if available.	Zatvorí aktuálny zoznam vstupov a zobrazí ďalší, ak je k dispozícii.
Displays the Edit Fields: Functions dialog, where you can edit the Input list.	Zobrazí dialógové okno Upraviť polia: Funkcie, kde môžete upraviť zoznam vstupov.
Drop-down Form Field	Rozbaľovacie pole formulára
Items on list	Položky v zozname
Move Up	Presunúť vyššie
Move Down	Presunúť nižšie
Edit Categories	Upraviť kategórie
Selection list	Výberový zoznam
Lists the existing AutoText categories and the corresponding paths.	Zobrazuje zoznam existujúcich kategórií Automatického textu a zodpovedajúcich ciest k súborom kategórií.
Edit Fields	Upraviť polia
Previous field of same type	Predchádzajúce pole rovnakého typu
Edit field contents.	Upravte obsah poľa.
Next field of same type	Nasledujúce pole rovnakého typu
Edit variable field content	Upraviť nastaviteľný obsah poľa
Edit Sections	Upraviť oblasti
Type a name for the new section.	Zadajte názov novej oblasti.
Type the name of the section that you want to edit, or click a name in the Section list.	Zadajte meno oblasti, ktorú chcete upraviť, alebo kliknite na meno v zozname oblastí.
Inserts the contents of another document or section from another document in the current section.	Vloží obsah iného dokumentu alebo oblasti z iného dokumentu do aktuálnej oblasti.
Locate the file that you want to insert as a link, and then click Insert.	Vyhľadajte súbor, ktorý chcete vložiť ako odkaz, a potom kliknite na Vložiť.
Select the section in the file that you want to insert as a link.	Vyberte oblasť v súbore, ktorú chcete vložiť ako odkaz.
File name	Meno súboru
DDE Command	Príkaz DDE
Prevents the selected section from being edited.	Zabráni úpravám vybranej oblasti.
With password	S heslom
Protects the selected section with a password. The password must have a minimum of 5 characters.	Chráni vybranú oblasť heslom. Heslo musí mať minimálne 5 znakov.
Opens a dialog where you can change the current password.	Otvorí dialógové okno, kde môžete zmeniť aktuálne heslo.
Write Protection	Ochrana proti zápisu
Hides and prevents the selected section from being printed.	Skryje vybranú oblasť a zabráni jej vytlačeniu.
With Condition	S podmienkou
Enter the condition that must be met to hide the section.	Zadajte podmienku, ktorú treba splniť, aby sa oblasť skryla.
Editable in read-only document	Upraviteľné v dokumente iba na čítanie
Sets the properties of the section.	Nastaví vlastnosti oblasti.
Start at	Začať na
Enter the number for the first endnote in the document.	Zadajte číslo pre prvú koncovú poznámku v dokumente.
Enter the text that you want to display in front of the endnote number in the note text.	Zadajte text, ktorý chcete zobraziť pred číslom koncovej poznámky v texte poznámky.
Enter the text that you want to display after the endnote number in the note text.	Zadajte text, ktorý chcete zobraziť za číslom koncovej poznámky v texte poznámky.
Autonumbering	Automatické číslovanie
Select the paragraph style for the endnote text. Only special styles can be selected.	Vyberte štýl odseku pre text koncovej poznámky. Je možné zvoliť iba špeciálne štýly.
Select the page style that you want to use for endnotes.	Vyberte štýl strany, ktorý chcete použiť pre koncové poznámky.
Text area	Oblasť textu
Endnote area	Oblasť pre koncové poznámky
Select the character style that you want to use for the endnote numbers in the endnote area.	Vyberte štýl znakov, ktorý chcete použiť pre čísla koncových poznámok v oblasti koncových poznámok.
Specifies the formatting for endnotes.	Určuje formátovanie pre koncové poznámky.
Enter the delivery address.	Zadajte dodaciu adresu.
Addressee	Adresát
Select the database containing the address data that you want to insert.	Vyberte databázu, ktorá obsahuje požadované údaje o adresách.
Select the database table containing the address data that you want to insert.	Vyberte tabuľku, ktorá obsahuje požadované údaje o adresách.
from left	zľava
from top	zhora
Click and choose the text formatting style for the addressee field that you want to edit.	Kliknite a vyberte štýl formátovania textu poľa príjemcu, ktoré chcete upravovať.
Click and choose the text formatting style for the sender field that you want to edit.	Kliknite a vyberte štýl formátovania textu poľa odosielateľa, ktorý chcete upravovať.
Enter the width of the envelope.	Vložte šírku obálky.
Enter the height of the envelope.	Vložte výšku obálky.
Specifies the layout and the dimension of the envelope.	Určuje vzhľad a rozmery obálky.
Print from top	Tlač od horného okraja
Feeds the envelope with the print side face up in the printer tray.	Obálka je v zásobníku tlačiarne založená tlačenou stranou nahor.
Print from bottom	Tlač od spodného okraja
Feeds the envelope with the print side face down in the printer tray.	Obálka je v zásobníku tlačiarne založená tlačovou stranou dole.
Shift right	Posunúť doprava
Shift down	Posunúť dolu
Enter the amount to shift the print area to the right.	Vložte veľkosť posunutia tlačovej oblasti doprava.
Enter the amount to shift the print area down.	Vložte veľkosť posunutia tlačovej oblasti dole.
Horizontal Left	Vodorovne vľavo
Horizontal Center	Vodorovne na stred
Horizontal Right	Vodorovne vpravo
Vertical Left	Zvisle vľavo
Vertical Center	Zvisle na stred
Vertical Right	Zvisle vpravo
Envelope Orientation	Orientácia obálky
Setup...	Nastavenie...
Printer Name	Názov tlačiarne
Current Printer	Aktuálna tlačiareň
Set the print options for the envelope.	Nastavte možnosti tlače pre obálku.
Exchange Databases	Vymeniť databázy
Databases in Use	Používaná databáza
Available Databases	Dostupné databázy
Lists the databases that are currently in use.	Vypíše používané databázou.
Lists the databases that are registered in %PRODUCTNAME.	Uvádza zoznam databáz registrovaných v %PRODUCTNAME.
Database applied to document:	Databáza použitá v dokumente:
Change the data sources for the current document.	Zmeniť zdroje dát pre aktuálny dokument.
Cross-references	Krížové odkazy
Inserts a field at the current cursor position.	Vloží pole na pozíciu kurzora.
Displays the next record that contains the search text.	Zobrazí nasledujúci záznam, ktorý obsahuje hľadaný text.
Find	Hľadať
Enter the search term.	Zadajte hľadaný výraz.
Find only in	Hľadať len v
Restricts the search to one data field.	Obmedzí vyhľadávanie na jedno dátové pole.
Select the data field where you want to search for the text.	Vyberte dátové pole, kde chcete vyhľadať text.
Searches for a record or recipient in the mail merge address list.	Vyhľadá záznam alebo príjemcu v zozname adries hromadnej korešpondencie.
For fields linked to a condition, enter the criteria here.	Pre polia spojené s podmienkou tu zadajte jej kritériá.
Enter the number of the record that you want to insert when the condition that you specify is met.	Zadajte číslo záznamu, ktorý chcete vložiť,ak je zadaná podmienka splnená.
Select the database table or the database query that you want the field to refer to.	Vyberte databázovú tabuľku alebo databázový dotaz, na ktorý sa má pole odkazovať.
Database Selection	Výber databázy
Add database file	Pridať databázový súbor
From database	Z databázy
Uses the format defined in the selected database.	Použije formát definovaný vo vybranej databáze.
Applies the format that you select in the List of user-defined formats.	Aplikuje formát, ktorý vyberiete v Zozname formátov definovaných používateľom.
Lists the available user-defined formats.	Uvádza zoznam dostupných formátov definovaných používateľom.
Fixed content	Nemenný obsah
Inserts the field as static content, that is, the field cannot be updated.	Vloží pole ako statický obsah. To znamená, že takéto pole nemôže byť aktualizované.
Select the chapter heading level that you want to include in the selected field.	Vyberte úroveň nadpisov kapitol, ktoré chcete zahrnúť do vybraného poľa.
Enter the offset that you want to apply to a date or time field.	Vložte posun pre pole dátumu alebo času.
Offset in days	Odchýlka v dňoch
Offset in minutes	Odchýlka v minútach
"Enter the offset value that you want to apply to a page number field, for example ""+1""."	"Zadajte požadovaný posun číslovania pre pole čísla strany, napr. ""+1""."
Then	Potom
Else	Inak
Enter a new item.	Zadajte novú položku.
Adds the Item to the list.	Pridá obsah políčka Položka do zoznamu.
Lists the items. The topmost item is shown in the document.	Vypíše položky. Najvrchnejša položka bude zobrazená v dokumente.
Removes the selected item from the list.	Odstráni zvolenú položku zo zoznamu.
Moves the selected item up in the list.	Posunie vybranú položku v zoznamu vyššie.
Moves the selected item down in the list.	Posunie vybranú položku v zozname nižšie.
Enter a unique name for the Input list.	Zadajte jednoznačný názov pre pole typu Vstupný zoznam.
Select the format that you want to use for the selected reference field.	Zvoľte formát, ktorý chcete použiť pre zvolené pole odkazu.
Insert reference to	Vložiť odkaz na
Filter Selection	Výber filtra
Enter the contents that you want to add to a user-defined fields.	Zadajte obsah, ktorý chcete vložiť do používateľských polí.
Type the name of the user-defined field that you want to create.	Zadajte názov používateľského poľa, ktoré chcete vytvoriť.
In the Format list, define if the value is inserted as text or a number.	V zozname Formát nastavte, či bude hodnota vložená ako text alebo ako číslo.
Invisible	Neviditeľný
Hides the field contents in the document.	Skryje obsah poľa v dokumente.
Choose the heading or chapter level at which to restart numbering in the document.	Zvoľte úroveň nadpisu alebo kapitoly, ktorú chcete v dokumente začať číslovať od začiatku.
Type the character that you want to use as a separator between the heading or chapter levels.	Zadajte znak, ktorý chcete použiť ako oddeľovač medzi úrovňami nadpisov alebo kapitol.
Numbering by Chapter	Číslovanie podľa kapitol
Enter the contents that you want to add to a user-defined field.	Zadajte obsah, ktorý chcete vložiť do používateľského poľa.
Adds the user-defined field to the Select list.	Pridá pole definované používateľom do zoznamu Vybrať.
Comment	Komentár
Synchronize Labels	Synchronizovať etikety
Footnotes/Endnotes Settings	Nastavenia poznámok pod čiarou/koncových poznámok
Not larger than page area	Nie väčší ako oblasť strany
Automatically adjusts the height of the footnote area depending on the number of footnotes.	Automaticky upraví výšku oblasti poznámok pod čiarou v závislosti od počtu poznámok pod čiarou.
Maximum footnote height	Maximálna výška poznámky pod čiarou
Sets a maximum height for the footnote area. Enable this option, then enter the height.	Nastavuje maximálnu výšku oblasti poznámok pod čiarou. Povoľte túto možnosť a potom zadajte výšku.
Space to text	Vzdialenosť k textu
Enter the maximum height for the footnote area.	Zadajte maximálnu výšku pre oblasť poznámky pod čiarou.
Footnote Area	Oblasť poznámok pod čiarou
Position	Umiestnenie
Thickness	Hrúbka
Spacing to footnote contents	Vzdialenosť k obsahu poznámky pod čiarou
Select the horizontal alignment for the line that separates the main text from the footnote area.	Vyberte vodorovné zarovnanie pre riadok, ktorý oddeľuje hlavný text od oblasti poznámok pod čiarou.
Select the color of the separator line.	Vyberte farbu oddeľovacej čiary.
Enter the length of the separator line as a percentage of the page width area.	Zadajte dĺžku oddeľovacej čiary ako percento šírky strany.
Select the thickness of the separator line.	Vyberte hrúbku oddeľovacej čiary.
Counting	Počítanie
End of page	Koniec strany
Displays footnotes at the bottom of the page.	V dolnej časti strany sa zobrazujú poznámky pod čiarou.
End of document	Koniec dokumentu
Displays footnotes at the end of the document as endnotes.	Zobrazí poznámky pod čiarou na konci dokumentu ako koncové poznámky.
Per page	Na strane
Per chapter	V kapitole
Per document	V dokumente
Select the numbering option for the footnotes.	Vyberte možnosť číslovania poznámok pod čiarou.
Enter the text that you want to display in front of the footnote number in the note text.	Zadajte text, ktorý chcete zobraziť pred číslom poznámky pod čiarou v texte poznámky.
Enter the text that you want to display after the footnote number in the note text.	Zadajte text, ktorý chcete zobraziť za číslom poznámky pod čiarou v texte poznámky.
Select the numbering scheme that you want to use.	
End of footnote	Koniec poznámky pod čiarou
Start of next page	Začiatok nasledujúcej strany
Continuation Notice	Pokračujúci komentár
Select the paragraph style for the footnote text. Only special styles can be selected.	Vyberte štýl odseku pre text poznámky pod čiarou. Je možné zvoliť iba špeciálne štýly.
Select the page style that you want to use for footnotes.	Vyberte štýl strany, ktorý chcete použiť pre poznámky pod čiarou.
Select the character style that you want to use for the footnote numbers in the footnote area.	Vyberte štýl znakov, ktorý chcete použiť pre čísla poznámok pod čiarou v oblasti poznámok pod čiarou.
Footnote area	Oblasť poznámok pod čiarou
Specifies the formatting for footnotes.	Určuje formátovanie poznámok pod čiarou.
Restarts the footnote numbering at the number that you specify.	Reštartuje číslovanie poznámok pod čiarou od čísla, ktoré určíte.
Enter the number that you want to assign the footnote.	Zadajte číslo, ktorému chcete priradiť poznámku pod čiarou.
Custom format	Vlastný formát
Enter the text that you want to display after the footnote number.	Zadajte text, ktorý chcete zobraziť za číslom poznámky pod čiarou.
Select the numbering scheme for the footnotes.	
Enter the text that you want to display in front of the footnote number.	Zadajte text, ktorý chcete zobraziť pred číslom poznámky pod čiarou.
Collect at end of text	Zhromaždiť na konci textu
Collect at end of section	Zhromaždiť na konci oblasti
Adds endnotes at the end of the section.	Na konci oblasti sa pridajú poznámky pod čiarou.
Restarts the endnote numbering at the number that you specify.	Reštartuje číslovanie koncových poznámok od čísla, ktoré určíte.
Enter the number that you want to assign the endnote.	Zadajte číslo, ktorému chcete priradiť poznámku.
Specifies a custom numbering format for endnotes.	Určuje vlastný formát číslovania pre poznámky pod čiarou.
Enter the text that you want to display after the endnote number.	Zadajte text, ktorý chcete zobraziť za číslom poznámky.
Select the numbering scheme for the endnotes.	
Enter the text that you want to display in front of the endnote number	Zadajte text, ktorý chcete zobraziť pred číslom poznámky
Specifies where footnotes and endnotes are displayed as well as their numbering formats.	Určuje, kde sa zobrazia poznámky pod čiarou a koncové poznámky, ako aj ich formáty číslovania.
Footnotes/Endnotes	Poznámky pod čiarou/koncové poznámky
Displays the width of the table as a percentage of the page width.	Zobrazenie šírky tabuľky ako v percentách šírky strany.
Enter the width of the table.	Vloženie šírky tabuľky.
Extends the table horizontally to the left and to the right page margins.	Rozširovanie tabuľky vodorovne k ľavému a pravému okraju strany.
Aligns the left edge of the table to the left page margin.	Zarovnanie ľavého okraja tabuľky k ľavému okraju strany.
Aligns the left edge of the table to the indent that you enter in the Left box in the Spacing area.	Zarovnanie ľavého okraja tabuľky k vzoru, ktorý ste vložili v Ľavom poli v časti Vzdialenosť.
Aligns the right edge of the table to the right page margin.	Zarovnanie pravého okraja tabuľky k pravému okraju strany.
Centers the table horizontally on the page.	Vycentruje tabuľku vodorovne na strane.
Properties 	Vlastnosti 
Specify the size, position, spacing, and alignment options for the selected table.	Nastavenie veľkosti, pozície, rozostupu a zarovnania vybranej tabuľky.
Enter a name for the selected item.	Vloženie názvu pre vybraný objekt.
Alternative (Text only):	Alternatívny text:
<None>	<Žiadny>
Previous link:	Predchádzajúci odkaz:
Next link:	Ďalší odkaz:
Names	Názvy
Prevents changes to the contents of the selected item.	Zamedzovanie zmenám obsahov vo vybraných prvkoch.
Locks the position of the selected item in the current document.	Zamknutie pozície vybraného prvku v aktuálnom dokumente.
Locks the size of the selected item.	Zamknutie veľkosti vybraného prvku.
Vertical alignment	Zvislé zarovnanie
Content Alignment	Zarovnanie obsahu
Editable in read-only document	Editovateľné v dokumente určenom len na čítanie
Allows you to edit the contents of a frame in a document that is read-only (write-protected).	Umožňuje upravovať obsah rámca v dokumente, ktorý je iba na čítanie (ochrana proti zápisu).
Print	Tlač
Includes the selected item when you print the document.	Zahŕňa vybraný prvok pri tlači dokumentu.
Specifies properties for the selected object, graphic or frame.	Určuje vlastnosti pre vybraný objekt, grafiku alebo rámec.
Width (at least)	Šírka (najmenej)
Relative to	Relatívne k
Calculates the width of the selected object as a percentage of the width of the page text area.	Vypočíta šírku vybraného objektu ako percento šírky textovej oblasti strany.
AutoSize	Automatická veľkosť
Height (at least)	Výška (najmenej)
Calculates the height of the selected object as a percentage of the height of the page text area.	Vypočíta výšku vybraného objektu ako percento výšky textovej oblasti strany.
Resets the size settings of the selected object to the original values.	Obnoví pôvodné hodnoty nastavenia veľkosti vybraného objektu.
Preview	
by	o
Enter the complete path to the file that you want to open.	Zadajte celú cestu k súboru, ktorý chcete otvoriť.
Locate the file that you want the hyperlink to open, and then click Open.	Určenie súboru, ktorý chcete otvoriť hypertextovým odkazom Otvoriť.
Specify the name of the frame where you want to open the targeted file.	Zadajte názov rámca, v ktorom chcete otvoriť cieľový súbor.
Link to	Odkaz na
Server-side image map	Obr. mapa na strane serveru
Uses a server-side image map.	Použitie obrázkovej mapy na strane servera.
Client-side image map	Obr. mapa na strane klienta
Uses the image map that you created for the selected object.	Používanie obrázkovej mapy ktorú ste vytvorili pre vybraný objekt.
Image Map	Obr. mapa
Specify the properties of the hyperlink for the selected graphic, frame or OLE object.	Zadajte vlastnosti hypertextového odkazu pre vybraný grafický objekt, rámec alebo objekt OLE.
Go to Page	Prejsť na stránku
of $1	z $1
Page:	Strana:
Border and Background...	Orámovanie a pozadie...
Insert Page Number	Vložiť číslo stránky
Insert Page Count	Vložiť počet strán
Before section	Pred oblasť
After section	Za oblasť
Specifies the indents before the section, at the left margin.	Udáva odsadenie pred oblasťou ľavého okraja.
Specifies the indents after the section, at the right margin.	Udáva odsadenie za oblasťou pravého okraja.
Deletes the selected entry from the index. The entry text in the document is not deleted.	Zmaže vybranú položku z registra. Text položky z dokumentu nie je odstránený.
New User-defined Index	Nový register (vytvorený používateľom)
Phonetic reading	Fonetické čítanie
Update entry from selection	Aktualizovať položku z výberu
Main entry	Hlavná položka
Apply to all similar texts	Použiť na všetky podobné texty
Whole words only	Len celé slova
Jumps to the previous index entry of the same type in the document.	Preskočí na predchádzajúcu položku registra rovnakého typu v dokumente.
Jumps to the next index entry of the same type in the document.	Preskočí na nasledujúcu položku registra rovnakého typu v dokumente.
Jumps to the first index entry of the same type in the document.	Preskočí na prvú položku registra rovnakého typu v dokumente.
Jumps to the last index entry of the same type in the document.	Preskočí na poslednú položku registra rovnakého typu v dokumente.
Search key not found.	Hľadané kľúčové slovo nenájdené.
Read-Only Content	Obsah len na čítanie
Write-protected content cannot be changed.	Obsah chránený proti zápisu nemožno zmeniť.
No modifications will be accepted.	Žiadne zmeny sa nevykonajú.
